part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;3;0.6;16;mae;660222.1538672461
1;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;3;0.9;16;mae;656321.8327468093
1;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;5;0.6;16;mae;651386.1766756992
1;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;5;0.9;16;mae;647165.5901956644
1;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;7;0.6;16;mae;635522.762580757
1;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;7;0.9;16;mae;637353.9017946168
2;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;3;0.6;16;mae;639043.8275895639
2;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;3;0.9;16;mae;648079.1203841451
2;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;5;0.6;16;mae;639527.0069770219
2;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;5;0.9;16;mae;653275.5730611735
2;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;7;0.6;16;mae;633152.6167113878
2;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;7;0.9;16;mae;631018.6650603582
3;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;3;0.6;16;mae;578877.0237676273
3;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;3;0.9;16;mae;608323.8991530316
3;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;5;0.6;16;mae;583499.8124785033
3;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;5;0.9;16;mae;586973.9675223873
3;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;7;0.6;16;mae;570877.568766276
3;bpic2012w;prefix_agg;xgb;1;500;0.06;0.8;7;0.9;16;mae;589486.9421125688
