part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;3;0.6;20;mae;4609099.861592012
1;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;3;0.9;20;mae;4491107.682215073
1;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;5;0.6;20;mae;4564050.502527573
1;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;5;0.9;20;mae;4487534.066434972
1;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;7;0.6;20;mae;4474532.187787225
1;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;7;0.9;20;mae;4526416.973230698
2;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;3;0.6;20;mae;3876036.0236104704
2;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;3;0.9;20;mae;3975801.6953125
2;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;5;0.6;20;mae;3600854.892844788
2;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;5;0.9;20;mae;3718659.6917666052
2;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;7;0.6;20;mae;3582408.4189921585
2;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;7;0.9;20;mae;3545416.707218635
3;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;3;0.6;20;mae;4133037.6797155016
3;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;3;0.9;20;mae;4309300.39608535
3;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;5;0.6;20;mae;3964088.202003178
3;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;5;0.9;20;mae;4048637.450968862
3;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;7;0.6;20;mae;3988814.2005558354
3;bpic2015_5;prefix_agg;xgb;1;500;0.06;0.8;7;0.9;20;mae;3904106.840949821
