part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;3;0.6;8;mae;0.0
1;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;3;0.9;8;mae;0.0
1;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;5;0.6;8;mae;0.0
1;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;5;0.9;8;mae;0.0
1;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;7;0.6;8;mae;0.0
1;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;7;0.9;8;mae;0.0
2;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;3;0.6;8;mae;0.0
2;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;3;0.9;8;mae;0.0
2;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;5;0.6;8;mae;0.0
2;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;5;0.9;8;mae;0.0
2;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;7;0.6;8;mae;0.0
2;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;7;0.9;8;mae;0.0
3;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;3;0.6;8;mae;0.0
3;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;3;0.9;8;mae;0.0
3;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;5;0.6;8;mae;0.0
3;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;5;0.9;8;mae;0.0
3;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;7;0.6;8;mae;0.0
3;bpic2012a;prefix_index;xgb;1;500;0.06;0.8;7;0.9;8;mae;0.0
