part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2012a;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;610876.0432166334
1;bpic2012a;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;611783.3945061441
1;bpic2012a;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;618940.1386927809
1;bpic2012a;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;619868.6825340544
1;bpic2012a;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;628063.7295888592
1;bpic2012a;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;629014.93904485
2;bpic2012a;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;617297.7945026696
2;bpic2012a;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;618150.7019549503
2;bpic2012a;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;619070.9527008375
2;bpic2012a;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;619597.8197599095
2;bpic2012a;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;624501.0412513083
2;bpic2012a;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;628206.6172652697
3;bpic2012a;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;595783.6188028636
3;bpic2012a;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;595905.4274046052
3;bpic2012a;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;596256.9745076863
3;bpic2012a;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;597649.0318021737
3;bpic2012a;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;602262.907846631
3;bpic2012a;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;604637.0181378546
