part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2012o;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;447880.3938840821
1;bpic2012o;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;449478.13659184874
1;bpic2012o;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;459717.5991866748
1;bpic2012o;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;461698.6087392646
1;bpic2012o;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;468111.23213086784
1;bpic2012o;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;475464.54506387474
2;bpic2012o;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;455778.9680245483
2;bpic2012o;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;457859.9150760413
2;bpic2012o;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;468753.60143234255
2;bpic2012o;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;470995.2392080739
2;bpic2012o;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;482066.6200438449
2;bpic2012o;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;487942.8809364395
3;bpic2012o;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;440794.70185747533
3;bpic2012o;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;440036.5157066844
3;bpic2012o;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;452091.7911376706
3;bpic2012o;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;453282.5163405502
3;bpic2012o;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;465108.8886576844
3;bpic2012o;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;466966.6160186782
