part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2012w;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;717888.6058166442
1;bpic2012w;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;717980.1507101918
1;bpic2012w;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;714854.957715632
1;bpic2012w;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;715987.1672585098
1;bpic2012w;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;717217.0538138128
1;bpic2012w;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;715506.2035179473
2;bpic2012w;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;725860.4743557546
2;bpic2012w;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;724722.3977848206
2;bpic2012w;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;718088.3260132339
2;bpic2012w;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;720578.5338200355
2;bpic2012w;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;720687.5097833682
2;bpic2012w;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;721852.2058317919
3;bpic2012w;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;687840.3170173155
3;bpic2012w;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;687185.8001650424
3;bpic2012w;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;687980.7554993839
3;bpic2012w;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;690319.58400192
3;bpic2012w;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;688863.4609582501
3;bpic2012w;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;693966.1884915757
