part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;4716315.128491577
1;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;4680897.077819934
1;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;4940788.2257324485
1;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;4945369.447212733
1;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;4898254.1177111305
1;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;5146489.199371079
2;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;4350840.97099078
2;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;4367132.73713769
2;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;4436505.883812364
2;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;4286958.931999333
2;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;4188702.6793817505
2;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;4266378.629380056
3;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;3;0.6;1;mae;4460058.723231171
3;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;3;0.9;1;mae;4496015.308692106
3;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;5;0.6;1;mae;4729181.747365292
3;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;5;0.9;1;mae;4815692.713452607
3;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;7;0.6;1;mae;4760419.33414629
3;bpic2015_5;single_agg;xgb;1;500;0.06;0.8;7;0.9;1;mae;4777796.731367502
